"#","Name","Address","Type","Region","Students","Teachers","Rating","Ratings Count"
"1","Toshkent Maxsus Maktab 1","","support","Toshkent shahri","3","0","4.10","12"
"2","Andijon viloyati 1-sonli maxsus ta’lim maktabi","Andijon shahri, Maktab ko‘chasi 26-uy","support","Andijon viloyati","11","0","0.00","0"
"3","Kattaqo‘rg‘on tumani erta yordam markazi","Kattaqo‘rg‘on shahri, Maktab ko‘chasi 26-uy","early_preschool","Samarqand viloyati","10","0","0.00","0"
"4","Samarqand Maxsus Maktab 1","","support","Samarqand viloyati","3","0","0.00","0"
"5","Samarqand Maxsus Maktab 2","","support","Samarqand viloyati","3","0","0.00","0"
"6","Samarqand viloyati 3-sonli madad maktabi","Samarqand shahri, Maktab ko‘chasi 31-uy","support","Samarqand viloyati","14","0","0.00","0"
"7","Toshkent Maxsus Maktab 2","","support","Toshkent shahri","3","0","0.00","0"
"8","Toshkent shahar 3-sonli ixtisoslashtirilgan maktabi","Toshkent shahri, Maktab ko‘chasi 21-uy","support","Toshkent shahri","66","0","0.00","0"
"9","Toshkent shahar 4-sonli maxsus ta’lim markazi","Toshkent shahri, Maktab ko‘chasi 22-uy","early_intervention","Toshkent shahri","15","0","0.00","0"
"10","Urgut tumani maxsus ta’lim maktabi","Urgut shahri, Maktab ko‘chasi 16-uy","daycare","Samarqand viloyati","10","0","0.00","0"
